id;target;response;autoscore;numwords;sessid;block;trial;hint;sentid;snr;audio;speaker;gender;nativelanguage;level;timestamp
1021;A boy fell from the window.;Female voice within white noise;0;6;1;1;1;1;1;n4;ALL_049_F_ENG_ENG_HT1_S001;49;1;ENG;68;01/09/2023 20:53
1021;The wife helped her husband.;Female voice within white noise.;0;5;2;1;2;1;2;n4;ALL_049_F_ENG_ENG_HT1_S002;49;1;ENG;68;01/09/2023 20:53
1021;Big dogs can be dangerous.;Female voice white noise;0;5;3;1;3;1;3;n4;ALL_049_F_ENG_ENG_HT1_S003;49;1;ENG;68;01/09/2023 20:54
1021;The shoes were very dirty.;Female voice white noise ;0;5;4;1;4;1;4;n4;ALL_049_F_ENG_ENG_HT1_S004;49;1;ENG;68;01/09/2023 20:55
1021;The player lost a shoe.;At the train station;1;5;5;1;5;1;5;n4;ALL_049_F_ENG_ENG_HT1_S005;49;1;ENG;68;01/09/2023 20:55
1021;Somebody stole the money.;Female voice within white noise;0;4;6;1;6;1;6;n4;ALL_049_F_ENG_ENG_HT1_S006;49;1;ENG;68;01/09/2023 20:55
1021;The fire was very hot.;White noise;0;5;7;1;7;1;7;n4;ALL_049_F_ENG_ENG_HT1_S007;49;1;ENG;68;01/09/2023 20:56
1021;She's drinking from her own cup.;She is drinking from something;2;6;8;1;8;1;8;n4;ALL_049_F_ENG_ENG_HT1_S008;49;1;ENG;68;01/09/2023 20:56
1021;The picture came from a book.;The picture came undone;3;6;9;1;9;1;9;n4;ALL_049_F_ENG_ENG_HT1_S009;49;1;ENG;68;01/09/2023 20:56
1021;The car is going too fast.;The car ran into ice;2;6;10;1;10;1;10;n4;ALL_049_F_ENG_ENG_HT1_S010;49;1;ENG;68;01/09/2023 20:56
1021;The paint dripped on the ground.;The paint dropped off the car;3;6;11;1;11;1;11;n4;ALL_049_F_ENG_ENG_HT1_S011;49;1;ENG;68;01/09/2023 20:57
1021;The towel fell on the floor.;The time fell;2;6;12;1;12;1;12;n4;ALL_049_F_ENG_ENG_HT1_S012;49;1;ENG;68;01/09/2023 20:57
1021;The family likes fish.;A solution ;0;4;13;1;13;1;13;n4;ALL_049_F_ENG_ENG_HT1_S013;49;1;ENG;68;01/09/2023 20:57
1021;The bananas are too ripe.;The bananas are to ripe.;4;5;14;1;14;1;14;n4;ALL_049_F_ENG_ENG_HT1_S014;49;1;ENG;68;01/09/2023 20:58
1021;He grew lots of vegetables.;We grew our own vegetables ;2;5;15;1;15;1;15;n4;ALL_049_F_ENG_ENG_HT1_S015;49;1;ENG;68;01/09/2023 20:58
1021;She argues with her sister.;She argues for her sister;4;5;16;2;1;1;16;n2;ALL_049_F_ENG_ENG_HT1_S016;49;1;ENG;68;01/09/2023 20:58
1021;The kitchen window was clean.;The kitchen window was clean;5;5;17;2;2;1;17;n2;ALL_049_F_ENG_ENG_HT1_S017;49;1;ENG;68;01/09/2023 20:58
1021;He hung up his raincoat.;We hung up the turkey;2;5;18;2;3;1;18;n2;ALL_049_F_ENG_ENG_HT1_S018;49;1;ENG;68;01/09/2023 20:59
1021;The mailman brought a letter.;I something ;0;5;19;2;4;1;19;n2;ALL_049_F_ENG_ENG_HT1_S019;49;1;ENG;68;01/09/2023 20:59
1021;The mother heard the baby.;The mother held the baby;4;5;20;2;5;1;20;n2;ALL_049_F_ENG_ENG_HT1_S020;49;1;ENG;68;01/09/2023 20:59
1021;She found her purse in the trash.;She found her personal attraction;3;7;21;2;6;1;21;n2;ALL_049_F_ENG_ENG_HT1_S021;49;1;ENG;68;01/09/2023 21:00
1021;The table has three legs.;The table something;2;5;22;2;7;1;22;n2;ALL_049_F_ENG_ENG_HT1_S022;49;1;ENG;68;01/09/2023 21:00
1021;The children waved at the train.;The children waved at the word;5;6;23;2;8;1;23;n2;ALL_049_F_ENG_ENG_HT1_S023;49;1;ENG;68;01/09/2023 21:00
1021;Her coat is on a chair.;The something option;0;6;24;2;9;1;24;n2;ALL_049_F_ENG_ENG_HT1_S024;49;1;ENG;68;01/09/2023 21:01
1021;The girl is fixing her dress.;The girl something white noise;2;6;25;2;10;1;25;n2;ALL_049_F_ENG_ENG_HT1_S025;49;1;ENG;68;01/09/2023 21:01
1021;It's time to go to bed.;Female voice white noise;0;6;26;2;11;1;26;n2;ALL_049_F_ENG_ENG_HT1_S026;49;1;ENG;68;01/09/2023 21:01
1021;Mother read the instructions.;The mother liked ;2;4;27;2;12;1;27;n2;ALL_049_F_ENG_ENG_HT1_S027;49;1;ENG;68;01/09/2023 21:03
1021;The dog is eating some meat.;The dog obtained some something;3;6;28;2;13;1;28;n2;ALL_049_F_ENG_ENG_HT1_S028;49;1;ENG;68;01/09/2023 21:04
1021;Father forgot the bread.;The father stopped abrupt ;2;4;29;2;14;1;29;n2;ALL_049_F_ENG_ENG_HT1_S029;49;1;ENG;68;01/09/2023 21:04
1021;The road goes up a hill.;The road something;2;6;30;2;15;1;30;n2;ALL_049_F_ENG_ENG_HT1_S030;49;1;ENG;68;01/09/2023 21:04
1021;The painter uses a brush.;The painter uses the brush.;4;5;31;3;1;1;31;0;ALL_049_F_ENG_ENG_HT1_S031;49;1;ENG;68;01/09/2023 21:05
1021;The family bought a house.;The family bought a house.;5;5;32;3;2;1;32;0;ALL_049_F_ENG_ENG_HT1_S032;49;1;ENG;68;01/09/2023 21:05
1021;Swimmers can hold their breath.;Female voice white noise;0;5;33;3;3;1;33;0;ALL_049_F_ENG_ENG_HT1_S033;49;1;ENG;68;01/09/2023 21:05
1021;She cut the steak with her knife.;She caught the stable horse;2;7;34;3;4;1;34;0;ALL_049_F_ENG_ENG_HT1_S034;49;1;ENG;68;01/09/2023 21:06
1021;They're pushing an old car.;They wished for something;0;5;35;3;5;1;35;0;ALL_049_F_ENG_ENG_HT1_S035;49;1;ENG;68;01/09/2023 21:06
1021;The food is expensive.;The something is expensive;3;4;36;3;6;1;36;0;ALL_049_F_ENG_ENG_HT1_S036;49;1;ENG;68;01/09/2023 21:06
1021;The children are walking home.;The children no longer something;2;5;37;3;7;1;37;0;ALL_049_F_ENG_ENG_HT1_S037;49;1;ENG;68;01/09/2023 21:07
1021;They had two empty bottles.;There are two empty bottles;3;5;38;3;8;1;38;0;ALL_049_F_ENG_ENG_HT1_S038;49;1;ENG;68;01/09/2023 21:07
